seller_id,seller_zip_code_prefix,seller_city,seller_state,seller_name,email,password_hash
3442f8959a84dea7ee197c632cb2df15,13023,Campinas,SP,Barry Group,barry_3442@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
d1b65fc7debc3361ea86b5f14c68d2e2,13844,Mogi Guacu,SP,"Hale, Edwards and Williamson",hale_d1b6@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
ce3ad9de960102d0677a81f5d0bb7b2d,20031,Rio De Janeiro,RJ,"Klein, Welch and Richards",klein_ce3a@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
c0f3eea2e14555b6faeea3dd58c1b1c3,4195,Sao Paulo,SP,"Murray, Green and Andrade",murray_c0f3@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
51a04a8a6bdcb23deccc82b0b80742cf,12914,Braganca Paulista,SP,Smith-Gardner,smith-gardner_51a0@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
c240c4061717ac1806ae6ee72be3533b,20920,Rio De Janeiro,RJ,Bishop LLC,bishop_c240@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
e49c26c3edfa46d227d5121a6b6e4d37,55325,Brejao,PE,"Ponce, Moss and Jimenez",ponce_e49c@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
1b938a7ec6ac5061a66a3766e0e75f90,16304,Penapolis,SP,Burton-White,burton-white_1b93@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
768a86e36ad6aae3d03ee3c6433d61df,1529,Sao Paulo,SP,"Cooper, Foley and Stewart",cooper_768a@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,Curitiba,PR,"Alvarado, Jackson and Phillips",alvarado_ccc4@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
8cb7c5ddf41f4d506eba76e9a4702a25,75110,Anapolis,GO,Lozano Inc,lozano_8cb7@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
a7a9b880c49781da66651ccf4ba9ac38,13530,Itirapina,SP,"Nunez, Schmitt and Hernandez",nunez_a7a9@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
8bd0f31cf0a614c658f6763bd02dea69,1222,Sao Paulo,SP,Hernandez-Dunn,hernandez-dunn_8bd0@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
05a48cc8859962767935ab9087417fbb,5372,Sao Paulo,SP,Warner Group,warner_05a4@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
7b8e8ec35bad4b0ef7e3963650b0a87b,88705,Tubarao,SC,Williams-Owens,williams-owens_7b8e@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
1444c08e64d55fb3c25f0f09c07ffcf2,42738,Lauro De Freitas,BA,Rodgers PLC,rodgers_1444@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
166e8f1381e09651983c38b1f6f91c11,88780,Imbituba,SC,Hernandez-Clark,hernandez-clark_166e@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
e38db885400cd35c71dfd162f2c1dbcf,70740,Brasilia,DF,"Douglas, Brown and Wall",douglas_e38d@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
d2e753bb80b7d4faa77483ed00edc8ca,45810,Porto Seguro,BA,Lopez and Sons,lopez_d2e7@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
f9ec7093df3a7b346b7bcf7864069ca3,5138,Sao Paulo,SP,Diaz-Edwards,diaz-edwards_f9ec@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
4e6015589b781adaa5ce7f1892d06bb1,11440,Guaruja,SP,"Jackson, Cruz and Davis",jackson_4e60@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
4cf490a58259286ada5ba8525ba9e84a,14910,Tabatinga,SP,"Vega, Martinez and Holt",vega_4cf4@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
f7496d659ca9fdaf323c0aae84176632,4156,Sao Paulo,SP,Roth-Kaiser,roth-kaiser_f749@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
2ff97219cb8622eaf3cd89b7d9c09824,13320,Salto,SP,Martinez-Lewis,martinez-lewis_2ff9@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
8bd0e3abda539b9479c4b44a691be1ec,98910,Tres De Maio,RS,Richmond-Schultz,richmond-schultz_8bd0@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
2a1348e9addc1af5aaa619b1a3679d6b,30494,Belo Horizonte,MG,Sanchez Inc,sanchez_2a13@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
2078fe5066350e7d220c0ad3a3bbc6c1,86707,Arapongas,PR,Smith Ltd,smith_2078@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
116ccb1a1604bc88e4d234a8c23f33de,9850,Sao Bernardo Do Campo,SP,"Mitchell, Price and Villa",mitchell_116c@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
430315b7bb4b6e4b3c978f9dfa9b0558,4857,Sao Paulo,SP,Walters Group,walters_4303@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
406822777a0b9eb5c50e442dd4cd3ec5,18500,Tatui,SP,"Ayala, Reed and Walton",ayala_4068@seller.com,2a76110d06bcc4fd437337b984131cfa82db9f792e3e2340acef9f3066b264e0
